TI,DE,ID,AB,PY
"Pollen movement by the bat Artibeus jamaicensis (Chiroptera) in an agricultural landscape in the Yucatan Peninsula, Mexico",Ceiba pentandra; Cenotes; Chiroptera; Pastureland; Pollinator,PHENOLOGICAL PATTERNS; COSTA-RICA; POLLINATION; FRAGMENTATION; CONSEQUENCES; HABITAT; FOREST; NECTAR,"Artibeus jamaicensis is a medium-sized frugivorous microchiropteran bat that complements its diet with nectar and pollen during the dry season. We investigated which species of pollen are carried by A. jamaicensis in order to determine its potential role as a plant pollinator in the northern Yucatan Peninsula. We collected pollen from the fur of 192 individuals throughout the year from April 2004 to March 2005. We recorded pollen from nine plant species of eight families and found five unidentified pollen types, with the highest pollen species richness recorded in June. A. jamaicensis moved pollen of Erythrina standleyana and Mimosa bahamensis, which have not hitherto been reported as visited by this species. The most abundant pollen in the samples was found to be that of three tree species: Ceiba pentandra, C. aesculifolia and Lysiloma latisiliquum. Very few samples contained pollen in the rainy season, when the bats fed mainly on fruits. A. jamaicensis can fly several kilometres among foraging locations and dispersed large amounts of pollen from tree species growing near cenotes as well as those not present at cenotes but occurring in other forest fragments, highlighting its importance as a pollen vector among forest fragments in the largely deforested landscape of the Yucatan Peninsula, helping to reduce the negative effects of forest fragmentation. Ceiba appears to benefit from the role of A. jamaicensis as a pollen vector, and the species play an important ecological role in the Yucatan landscape, supplying shade, nectar and fruit for wildlife.",2017
Positive responses of flower visiting bees to landscape heterogeneity depend on functional connectivity levels,Functional ecological corridors; Landscape effects; Pollination; Bee richness and abundance; Atlantic forest,HABITAT LOSS; POLLINATION SERVICES; FRAGMENTATION; AGROECOSYSTEMS; BIODIVERSITY; EXTINCTION; BEETLES; FOREST; PLANTS; SCALE,"Landscape changes can lead to bee species loss, what impairs proper landscape level pollination processes, impacting both nature conservation and human welfare. Although landscape heterogeneity can rescue bee communities from collapsing, these insects seem sensitive to reduced functional connectivity, hindering pollen transfer among plants. Our objective was to verify which of these two factors, landscape heterogeneity or functional connectivity, can better explain variations of bee abundance and richness in a fragmented Atlantic Forest region. We sampled flower-visiting bees in 12 landscapes with varying heterogeneity and functional connectivity measured using a Functional Ecological Corridors framework. Both richness and abundance were affected by landscape factors, reaching its highest levels at intermediate levels of functional connectivity in highly heterogeneous landscapes, indicating the existence of strong regime shifts in the system. In low-forested landscapes, conservation actions for pollinating bees should focus on implementing diversified environments with high quality which are interspersed among each other and with native vegetation. ",2017
Spatiotemporal changes in flying insect abundance and their functional diversity as a function of distance to natural habitats in a mass flowering crop,Body size; Flower-visitors; Functional diversity; Isolation from natural habitat; Mangoes; Morphological traits; Wing span,LIFE-HISTORY TRAITS; POLLINATION SERVICES; BODY-SIZE; FRUIT-SET; AGRICULTURAL INTENSIFICATION; SAMPLING TECHNIQUES; SPECIES RESPONSES; BEE POLLINATORS; NATIVE BEES; WILD BEES,"To meet the dietary requirements of a burgeoning human population, the demand for animal-dependent crops continues to grow. To meet the demand, intensive farming practices are used. The gains in food production associated with agricultural intensification may be offset by its detrimental effects on pollinator populations through natural habitat fragmentation and pesticide use. Abundance and species richness of pollinators have been found to decrease with increasing distance to natural habitat in agroecosystems, reducing crop yields. A key aspect of crop pollination lies in the diversity of functional traits (functional diversity, FD) of flower-visitor communities within crop fields. Higher FD allows improved pollination success through complementarity between flower-visitors' morphology, phenology and behaviour. Many studies reported negative effects of increasing distance to natural habitats on the abundance and richness of flower-visitor communities, but the link between FD and natural habitat isolation is less well understood. Also, a more complete understanding of the functional traits of flower visitor communities within crops should consider potential variations through time. Differences in resources availability between seasons are important in tropical areas and could modify ecological responses of flower-visitor communities to isolation. In this study, we surveyed the Hymenoptera and Diptera communities within mango orchards of South Africa using pan traps at 100 m, 200 m and at the maximal distance possible from any natural habitat. We measured the response of insect abundance, wing span and body size as well as functional diversity to habitat isolation during mango flowering (dry season), and during the wet season (after mango fruit harvest). Flying insect abundance decreased with increasing distance to natural habitat during mango flowering, but no effect was detected during the wet season. FD of flying insects declined with increasing distance to natural habitat in both sampling periods. Insects captured during mango flowering were smaller but had higher wing length/body length ratios than those caught during the wet season. This study highlights that mango orchards are more inhospitable for flying insects during mango flowering. This effect might be due to low palatability of mango flowers, or pesticide use in mango fields. In order to maintain a high FD of flower-visiting species, and reduce the detrimental effects of habitat isolation to ultimately ensure better crop pollination, we propose establishment of patches of resource-rich habitats combined with judicious use of pesticides within orchards.    ",2016
Asteraceae invaders have limited impacts on the pollination of common native annual species in SW Western Australia's open woodland wildflower communities,Pollen limitation; Biological invasion; Annual plants; Indirect interactions,POLLEN LIMITATION; REPRODUCTIVE ALLOCATION; PLANT-COMMUNITIES; FLORAL DIVERSITY; MODEL SELECTION; COMPETITION; VISITATION; NEIGHBORHOOD; MUTUALISMS; EVOLUTION,"The York gum-jam woodlands of southwest Western Australia support diverse annual wildflower communities despite extensive habitat fragmentation, remnant isolation and the invasion of many exotic annual plant species. Few studies have explored the pollinator-plant relationships maintaining these persistently species-rich 'novel' communities. We examine the pollination ecology of five native species common to York gum-jam woodland annual communities to determine whether native pollinators may be mediating impacts of exotic annual plants on native wildflower species. We determined the pollination requirements of native focal species and the diversity and frequency of pollinator visitation to these focal plant species across invasion gradients. We also recorded the pollinator community of a dominant exotic herb in this system: Arctotheca calendula (cape weed). Only two of the five native species examined had significant seed set benefits attributable to insect pollination. One native plant species, Podotheca gnaphalioides, had pollinator assemblages that overlapped significantly with exotic A. calendula, with some reduction in pollinator visitation evident. One species, Waitzia acuminata, was found to benefit from insect pollination only in the larger of two surveyed remnants, which may reflect emerging reproductive polymorphism among geographically isolated populations. We highlight two mechanisms in this system that may buffer pollinator-mediated impacts of exotic species on native species: autonomous seed production, which may be increasingly prevalent in isolated populations, and segregation of pollinator resources among species. Our findings illustrate the ways that pollinator-mediated interactions can affect seed set within plant communities persisting in highly fragmented and invaded agricultural landscapes.",2015
Changing odour landscapes: the effect of anthropogenic volatile pollutants on plant-pollinator olfactory communication,air pollution; floral volatiles; flowering communities; olfactory signalling; plant-insect communication,ORGANIC-COMPOUND EMISSIONS; FLORAL SCENT; AIR-POLLUTION; OZONE; EVOLUTION; ECOLOGY; FLOWERS; DISCRIMINATION; DEGRADATION; INFORMATION,"1. Olfactory signals, often in synergy with visual signals, mediate the interactions between plants and animals. However, urbanization and agricultural practices are both sources of volatile organic compounds (VOCs) and reactive oxygen species (ROS) that have the potential to interfere with plant-animal communication and to disrupt mutualistic interactions. In this review, we explore how anthropogenic airborne pollutants may disrupt chemical information transfer between flowering plants and flower visitors. 2. The emission of anthropogenic volatile pollutants (AVPs) including VOCs and formation of ROS, for example from traffic or industries, and non-natural biogenic VOCs, for example from introduced crops, may have a number of effects: (i) changes in plant signalling as a consequence of plants experiencing physiological stress; (ii) chemical interference (chemical degradation/transformation of infochemicals); (iii) increased levels of background noise impeding signal detection; and (iv) changes in pollinator signal perception and behaviour. All of the above in turn could have consequences for the biological fitness of plants and animals that rely on olfactory information as pivotal functional signals. 3. The study of anthropogenic airborne pollutants and their effects on plant signalling is just emerging and the impacts of this aspect of anthropogenic emissions are barely understood. Volatiles emitted from anthropogenically changed landscapes could, however, have far-reaching consequences for ecosystem functioning in adjacent natural zones, particularly in fragmented landscapes. In response to the wide gap in our knowledge on the mechanisms that govern interference of anthropogenic VOCs with olfactory information, future research directions are proposed with the aim to inspire research to help elucidate the risks of anthropogenic VOCs for plant-pollinator communities and improve risk assessment strategies.",2017
Pollination and Reproductive Biology in a Hill Prairie Population of Nothocalais cuspidata (Asteraceae: Cichorieae),,SELF-INCOMPATIBLE PLANT; POLLEN-LIMITATION; ECHINACEA-ANGUSTIFOLIA; DEPRESSED POLLINATION; FURCATUS ASTERACEAE; SEED SET; CONSEQUENCES; SCROPHULARIACEAE; QUANTITY; ECOLOGY,"Nothocalais cuspidata (Pursh) Greene (Asteraceae) is a plant species of conservation concern in Missouri; it typically occurs as isolated populations in hill and sand prairies which are themselves rare and fragmented habitats. The present study was undertaken to understand its reproductive biology as a hill prairie member and the possibility of reduced reproductive output in this isolated habitat. Nothocalais cuspidata is an early spring-flowering, nonclonal, primarily self-incompatible perennial that exhibits a 4 wk flowering phenology with most florets open to cross-pollination over a 2-3 wk period. The attractive UV reflective florets were visited by six species of halictid and solitary bees. The study population did experience depressed reproductive output in 2014 compared to 2004, with open-pollinated florets producing 19.1% fewer fruits than in 2004 along with a 37% decline in population size over a 13 y period. We suggest the depressed fruit production experienced is likely due to the unpredictable spring weather associated with early flowering and sporadic pollinator visitation in an isolated habitat leading to large variations in reproductive success over time or a reduction in compatible mating types as the population declines.",2017
"Reproductive ecology of Asclepias meadii Torr. ex A.Gray (Apocynaceae), a federally threatened species",Asclepias meadii; floral phenology; fruit; pollination; stigmatic slits,NORTH-AMERICAN; BUMBLE BEES; TALLGRASS PRAIRIE; NECTAR PRODUCTION; FLOWER-VISITORS; POLLEN; ORCHIDACEAE; POLLINATION; HYMENOPTERA; SYRIACA,"Reproductive success in the federally threatened species Asclepias meadii is limited by several factors, including the increasing age and fragmentation of populations, low fruit set, and potential disease. We investigated the reproductive ecology of three isolated populations of A. meadii over five seasons (2010-14) in Missouri and Kansas. Experimental hand-pollinations showed that flowers at all sites were incapable of automatic self-pollination autogamy) and lacked early acting self-incompatibility. The average number of ovaries with pollen tubes in open (insect-mediated) pollination varied from 0.10 to 0.81 depending on site and season. The conversion rate of ovaries into fruits never exceeded more than two fruits per umbel with insect-mediated fruit set varying from 0% to 50% according to site and season. Nectar was the only reward with a per-flower volume as high as 5 mu L containing dissolved sugars from 21% to >= 50%. The nectar was hexose dominant, and the amino acid content was limited to aspartic acid and arginine. Nectar-drinking insects were common visitors at all sites, but only three taxa in the family Apidae (Anthophora abrupta, Apis mellifera, and Bombus species) were consistent carriers of A. meadii pollinaria on their legs. Density and diversity of these three pollinaria carrying taxa also varied according to site and season. Although all three taxa were successful pollinaria vectors, the nonnative A. mellifera does not appear to be as efficient as the native species in the two other bee genera. Our findings offer evidence that Bombus species are especially successful in vectoring pollinaria between flowers of A. meadii; that pollen tubes are successfully reaching the ovaries in insect-mediated, hand-self, and hand-cross pollination events; and that automatic self-pollination (autogamy) does not occur.",2017
The phylogenetic structure of plant-pollinator networks increases with habitat size and isolation,Area effect; co-phylogenetic correspondence; habitat islands; isolation; mutualistic networks; Pampas; phylogenetic structure; pollination webs,MUTUALISTIC NETWORKS; EVOLUTIONARY PROCESSES; DIVERSITY; COEVOLUTION; SPECIALIZATION; FRAGMENTATION; TREE; CONSEQUENCES; BIOLOGY; SHAPE,"Similarity among species in traits related to ecological interactions is frequently associated with common ancestry. Thus, closely related species usually interact with ecologically similar partners, which can be reinforced by diverse co-evolutionary processes. The effect of habitat fragmentation on the phylogenetic signal in interspecific interactions and correspondence between plant and animal phylogenies is, however, unknown. Here, we address to what extent phylogenetic signal and co-phylogenetic congruence of plant-animal interactions depend on habitat size and isolation by analysing the phylogenetic structure of 12 pollination webs from isolated Pampean hills. Phylogenetic signal in interspecific interactions differed among webs, being stronger for flower-visiting insects than plants. Phylogenetic signal and overall co-phylogenetic congruence increased independently with hill size and isolation. We propose that habitat fragmentation would erode the phylogenetic structure of interaction webs. A decrease in phylogenetic signal and co-phylogenetic correspondence in plant-pollinator interactions could be associated with less reliable mutualism and erratic co-evolutionary change.",2016
Plant ecology meets animal cognition: impacts of animal memory on seed dispersal,Animal behaviour; Frugivory; Animal learning; Animal memory seed dispersal; Endozoochory; Plant-animal interactions,LONG-TERM-MEMORY; SPATIAL MEMORY; GEOCHELONE-DENTICULATA; FRUIT-REMOVAL; NORTHWESTERN BRAZIL; SPECIES-DIVERSITY; TROPICAL FOREST; CLIMATE-CHANGE; PATTERNS; TIME,"We propose that an understanding of animal learning and memory is critical to predicting the impacts of animals on plant populations through processes such as seed dispersal, pollination and herbivory. Focussing on endozoochory, we review the evidence that animal memory plays a role in seed dispersal, and present a model which allows us to explore the fundamental consequences of memory for this process. We demonstrate that decision-making by animals based on their previous experiences has the potential to determine which plants are visited, which fruits are selected to be eaten from the plant and where seeds are subsequently deposited, as well as being an important determinant of animal survival. Collectively, these results suggest that the impact of animal learning and memory on seed dispersal is likely to be extremely important, although to date our understanding of these processes suffers from a conspicuous lack of empirical support. This is partly because of the difficulty of conducting appropriate experiments but is also the result of limited interaction between plant ecologists and those who work on animal cognition. We believe that an improved understanding of the effects of animal memory in endozoochorous interactions will allow better prediction of the impacts of ecosystem changes such as habitat fragmentation, introductions of novel species of plants and animals and reintroductions of animal populations to areas from which they have been extirpated, and hope that the ideas we put forward here provide an impetus for further work in this area.",2016
Pollen transfer in fragmented plant populations: insight from the pollen loads of pollinators and stigmas in a mass-flowering species,Mate limitation; plant density; pollen transport; pollinator limitation; Rhododendron ferrugineum; self-pollination,RHODODENDRON-FERRUGINEUM ERICACEAE; TROPICAL SHRUB; HYBANTHUS-PRUNIFOLIUS; REPRODUCTIVE SUCCESS; MATING SYSTEMS; SEED-SET; CONSEQUENCES; DENSITY; ENVIRONMENTS; VISITATION,"Pollinator and/or mate scarcity affects pollen transfer, with important ecological and evolutionary consequences for plant reproduction. However, the way in which the pollen loads transported by pollinators and deposited on stigmas are affected by pollination context has been little studied. We investigated the impacts of plant mate and visiting insect availabilities on pollen transport and receipt in a mass-flowering and facultative autogamous shrub (Rhododendron ferrugineum). First, we recorded insect visits to R. ferrugineum in plant patches of diverse densities and sizes. Second, we analyzed the pollen loads transported by R. ferrugineum pollinators and deposited on stigmas of emasculated and intact flowers, in the same patches. Overall, pollinators (bumblebees) transported much larger pollen loads than the ones found on stigmas, and the pollen deposited on stigmas included a high proportion of conspecific pollen. However, comparing pollen loads of emasculated and intact flowers indicated that pollinators contributed only half the conspecific pollen present on the stigma. At low plant density, we found the highest visitation rate and the lowest proportion of conspecific pollen transported and deposited by pollinators. By contrast, at higher plant density and lower visitation rate, pollinators deposited larger proportion of conspecific pollen, although still far from sufficient to ensure that all the ovules were fertilized. Finally, self-pollen completely buffered the detrimental effects on pollination of patch fragmentation and pollinator failure. Our results indicate that pollen loads from pollinators and emasculated flowers should be quantified for an accurate understanding of the relative impacts of pollinator and mate limitation on pollen transfer in facultative autogamous species.",2016
