TI,DE,ID,AB,PY
Endangered mutualisms: The conservation of plant-pollinator interactions,agriculture; ecosystem services; fragmentation; habitat alteration; species invasions,HONEY-BEES; POPULATION-SIZE; REPRODUCTIVE SUCCESS; SEED PRODUCTION; HABITAT FRAGMENTATION; FOREST FRAGMENTATION; GENETIC CONSEQUENCES; POLLEN LIMITATION; NEW-ZEALAND; ENVIRONMENTAL-CHANGE,"The pollination of flowering plants by animals represents a critical ecosystem service of great value to humanity, both monetary and otherwise. However, the need for active conservation of pollination interactions is only now being appreciated. Pollination systems are under increasing threat from anthropogenic sources, including fragmentation of habitat, changes in land use, modern agricultural practices, use of chemicals such as pesticides and herbicides, and invasions of non-native plants and animals. Honeybees, which themselves are non-native pollinators on most continents, and which may harm native bees and other pollinators, are nonetheless critically important for crop pollination. Recent declines in honeybee numbers in the United States and Europe bring home the importance of healthy pollination systems, and the need to further develop native bees and other animals as crop pollinators. The ""pollination crisis"" that is evident in declines of honeybees and native bees, and in damage to webs of plant-pollinator interaction, may be ameliorated not only by cultivation of a diversity of crop pollinators, but also by changes in habitat use and agricultural practices, species reintroductions and removals, and other means. In addition, ecologists must redouble efforts to study basic aspects of plant-pollinator interactions if optimal management decisions are to be made for conservation of these interactions in natural acid agricultural ecosystems.",1998
The potential consequences of pollinator declines on the conservation of biodiversity and stability of food crop yields,,HABITAT FRAGMENTATION; PLANT; FOREST; BATS; REPRODUCTION; POPULATION; FERTILITY; COSTS,"Following reports of dramatic declines in managed and feral honey bees from nearly every region of North America, scientists and resource managers from the U.S., Mexico, and Canada come together to review the quality of the evidence that honey bees as well as other pollinators are in long-term decline and to consider the potential consequences of these losses on the conservation of biodiversity and the stability of the yield of food crops. These experts in pollination ecology confirmed that the last 5 years of losses of honeybee colonies in North America leaves us with fewer managed pollinators than at any time in the last 50 years and that the management and protection of wild pollinators is an issue of paramount importance to our food supply system. Although there are conclusive data that indicate 1200 wild vertebrate pollination may be at risk, data on the status of most invertebrate species that act as pollination agents is lacking. The recommendations from a working group of over 20 field scientists, presented here, have been endorsed by 14 conservation and sustainable agriculture organizations, research institutes, and professional societies including the Society for Conservation Biology. Among the most critical priorities for future research and conservation of pollinator species are (1) increased attention to invertebrate systematics, monitoring, and reintroduction as part of critical habitat management and restoration plans. (2) multi-year assessments of the lethal and sublethal effects of pesticides, herbicides, and habitat fragmentation on the wild pollinator populations in and near croplands; (3) inclusion of the monitoring of seed and fruit set and floral visitation rates in endangered plant management and recovery plans; (4) inclusion of habitat needs for critically-important pollinators in the critical habitat designations for endangered plants; (5) identification and protection of floral reserves near roost sites along the ""nectar corridors"" of threatened migratory pollinators; and (6) investment in the restoration and management of a diversity of pollinators and their habitats adjacent to croplands in order to stabilize or improve crop yields The work group encourages increased education and training to ensure that both the lay, public and resource managers understand that pollination is one of the most important ecological services provided to agriculture through the responsible management and protection of wildland habitats and their populations of pollen-vectoring animals and nectar-producing plants.",1998
Plant functional traits and environmental filters at a regional scale,Argentina; assembly rule; climatic gradient; climate change; trait-environment linkage; plant functional type,GROWTH-RATE; VEGETATION; CLIMATE; COMMUNITIES; ECOLOGY; RULES; CLASSIFICATION; ATTRIBUTES; SOIL; LEAF,"Links between plant traits and the environment, i.e. sets of plant attributes consistently associated with certain environmental conditions, are the consequence of the filtering effect of climatic, disturbance and biotic conditions. These filters determine which components of a species pool are assembled into local communities. We aimed at testing for consistent association between plant traits and climatic conditions along a steep regional gradient, divided into 13 climatically homogeneous sectors, in central-western Argentina. We analyzed 19 vegetative and regeneration traits of the 100 most abundant species along the gradient. For each trait, we tested for homogeneity of frequencies of different categories between sectors and the regional species pool, using the chi(2) statistic. We rejected H-0 in 71% of the pair-wise comparisons, which strongly suggests a 'filtering effect' of climatic factors on key plant functions. Vegetative traits were filtered more often than regeneration traits. Specific leaf area, life span, ramification, canopy height, leaf weight ratio, carbon investment into support tissue and pollination mode were the traits showing differences in the largest number of pair-wise comparisons. This is probably the first attempt to detect, on a quantitative, statistically conservative basis, consistent linkages between climatic factors and numerous plant traits, over a broad spectrum of environmental conditions and plant growth forms. We discuss the advantages and limitations of this approach in predicting vegetation structure and functioning under present environmental conditions, and those expected for the next century as a consequence of global change.",1998
Annual variability in seed production by woody plants and the masting concept: Reassessment of principles and relationship to pollination and seed dispersal,crop size; mast fruiting; pollination; seed dispersal; seed production,PHYLOGENETICALLY INDEPENDENT CONTRASTS; TEMPERATE DECIDUOUS FOREST; BETWEEN-YEAR VARIATION; RELATIVE GROWTH-RATE; FRUIT-CROP SIZE; REPRODUCTIVE SYNCHRONY; EVOLUTIONARY ECOLOGY; PREDATOR SATIATION; FRAXINUS-EXCELSIOR; POLLEN LIMITATION,"By analyzing 296 published and unpublished data sets describing annual variation in seed output by 144 species of woody plants, this article addresses the following questions. Do plant species naturally fall into distinct groups corresponding to masting and nonmasting habits? Do plant populations generally exhibit significant bimodality in annual seed output! Are there significant relationships between annual variability in seed production and pollination and seed dispersal modes, as predicted from economy of scale considerations? We failed to identify distinct groups of species with contrasting levels of annual variability in seed output but did find evidence that most polycarpic woody plants seem to adhere to alternating supra-annual schedules consisting of either high or low reproduction years. Seed production was weakly more variable among wind-pollinated taxa than animal-pollinated ones. Plants dispersed by mutualistic frugivores were less variable than those dispersed by either inanimate means or animals that predominantly behave as seed predators. We conclude that there are no objective reasons to perpetuate the concept of mast fruiting in the ecological literature as a shorthand to designate a distinct biological phenomenon. Associations between supra-annual variability in seed output and pollination and seed dispersal methods suggest the existence of important reproductive correlates that demand further investigation.",1998
The taxonomic distribution of invasive angiosperm plants: Ecological insights and comparison to agricultural weeds,plant invaders; weeds; plant families; ecological characteristics; statistical trends,BIOLOGICAL INVASIONS; NATIONAL-PARK; NITROGEN-FIXATION; ECOSYSTEM; FORESTS,"Global data sets of serious agricultural weeds (1348 species), widespread agricultural weeds (1041 species), and threatening natural area invaders (381 species) were assembled, and taxonomic patterns among these data sets were compared to gain insights into how these groups differ ecologically. Angiosperm taxonomic groups (families, orders and subclasses) were tested for over-and under-representation using resampling tests, and ecological characteristics of plant families were correlated with the prominence of each family ill the data sets. As predicted by Baker's previously proposed attributes of 'ideal' weeds, many over-represented families among agricultural weeds contained primarily herbaceous, rapidly reproducing, abiotically dispersed species. The natural area invaders, in contrast, were represented by a more ecologically diverse range of families and were over-represented by more largely woody families. Families with at least some abiotically pollinated species averaged significantly higher proportions of natural area invaders (p=0.001) and agricultural weeds (p < 0.001) than biotically pollinated families. Families containing climbing species were more highly represented among natural area invaders than families without climbers (p<0.009). While all nonnative plants may carry some risk of becoming natural area invaders, this taxonomic analysis suggests that plants with amongst the highest risk of becoming natural area invaders worldwide include: species that are primarily aquatic or semi-aquatic, grasses, nitrogen-fixers, climbers, and clonal trees. Only 25% of natural area invaders were serious agricultural weeds, so quarantine legislation aimed at curbing the introduction of nerv agricultural weeds will be unlikely to prevent the introduction of most natural area invaders.  ",1998
Bioindication using trap-nesting bees and wasps and their natural enemies: community structure and interactions,Apidae; diversity; fragmented habitats; Hymenoptera; parasitism,SET-ASIDE FIELDS; HABITAT FRAGMENTATION; NATURE CONSERVATION; BIOLOGICAL-CONTROL; BIODIVERSITY; MANAGEMENT; POLLINATION; SUCCESSION; ABUNDANCE; DIVERSITY,"1, Results from four field studies show that communities of trap-nesting bees and wasps and their natural enemies are promising bioindicators for ecological change or habitat quality. These small and easy-to-handle communities can be analysed with respect to (i) species richness and related parameters, and (ii) ecological functions or interactions. The communities comprise Hymenoptera (Apidae, Sphecidae, Eumenidae, Pompilidae) and natural enemies belonging to many insect taxa. Traps consisted of 150-200, 15-20-cm long, reed internodes, put into tills or plastic tubes of 13-15 cm diameter; wooden posts with 2-10 of such reed-filled tins were exposed ill the target habitat. 2, Species richness and abundance of bees (but trot wasps) were closely related to plant species richness of the habitat, a measure of the bees' food resource. However, availability of nest sites of above-ground nesting species was equally important: meadows with old trees supported greater populations than meadows without trees. A threefold increase in exposed traps resulted in a twofold increase in species. 3. The sensitivity of this bioindicator system profits from the fact that evaluations rely not only on presence/absence data, descriptive population attributes or diversity indices, but also on interactions or ecological functions. Monitoring ecological responses or multitrophic interactions, and their relationship to species diversity, is rarely done but much needed. Ecological functions include (i) the percentage mortality of trap-nesting bees and wasps due to parasitoids and predators, which was correlated with the species richness of these natural enemies; (ii) seed set of allogamous plants due to successful pollination by trap-nesting bees; and (iii) biological control by the predacious wasps. 4, With increasing isolation of fragmented habitats (when traps were exposed in a cleared agricultural landscape), both species richness of natural enemies and percentage mortality (parasitism and predation) declined significantly. In a comparison of habitat types (grasslands and field mal-gins), species richness of the trap-nest community correlated with plant diversity, but percentage mortality, due to parasitism and predation, with field age only. The threshold distance to the nearest habitat was 106-530 m for a 10 50% decrease in mean mortality, and the mortality increased greatly in habitats that were older than 5 years. Accordingly, these studies emphasize the significance of a continuum of old habitat patches for the augmentation of nat ural enemies. 5, Exposure of standardized traps is an experimental approach with a small, interacting and reproducing community that can be easily characterized by simple parameters. Taxonomy and biology are well known, and quick evaluations can be done using the close correlation between the number of occupied traps and species richness. Species richness of trap-nesting bees and wasps was closely correlated with that sampled by sweep nets. Further criteria of indicator taxa that apply to this system are discussed in the text.",1998
Sugar composition of nectars and fruits consumed by birds and bats in the tropics and subtropics,coevolution; Erythrina; fruit juice; hummingbirds; Megachiroptera; Microchiroptera; nectar; passerine; sucrose,FLORAL NECTAR; AMINO-ACIDS; NEW-ZEALAND; OLD-WORLD; CONSTITUENTS; POLLINATION; PREFERENCES; PHYLOGENIES; CHARACTERS; ADAPTATION,"Several characteristics of flowers and fruits have been suggested as comprising syndromes of characters that indicate particular classes of pollinators and fruit dispersers. Common phylogenetic history among species, however, may also significantly influence these characters and obscure or enhance perceived patterns of plant syndromes. We analyzed the proportions of glucose, fructose, and sucrose by paper chromatography in the nectar and fruit juice of 525 tropical and subtropical plant species to test whether sugar chemistry was correlated with volant vertebrate pollinator or fruit disperser classes. Samples were taken from Old World and New World species and the calculations kept separate. Kruskal-Wallis tests of family means showed significant deviations in the percent sucrose content among pollinator/disperser classes. Mann-Whitney U-tests showed significant differences among nectars of all pollinator classes but fruit juices differed only due to the high sucrose content of megachiropteran dispersed fruits. In addition, sign tests of samples occurring within families showed significant correlations between percentage sucrose content and pollinator/disperser classes. Passerine nectars had low sucrose content. In striking contrast, the nectar of hummingbird flowers had very high sucrose content. The Microchiroptera nectars showed hexose richness with a sucrose content somewhat greater than that of passerine flowers. Megachiroptera flowers showed sucrose-rich nectars. The results for fruits were comparable to those for nectars. Passerine fruits were hexose dominated, microchiropteran fruits had a sucrose content similar to passerine fruits, and megachiropteran Fruits were sucrose-rich. We speculate on the evolutionary sequence of changes in nectar and fruit juice sugar composition and suggest that future investigations consider the chemistry of other food sources such as pollen and leaves. Only with these additions and other ecological studies can the full interplay of such plane-animal interactions be anticipated.",1998
Efficient pollination of alpine plants,,HIGH TEMPERATE ANDES; CENTRAL CHILE; COMMUNITY; ECOLOGY,,1998
Organisation and diversity of tropical bat communities through space and time,guilds; resources; conservation; behavior; inventories,DIPTEROCARP RAIN-FOREST; FRUIT-EATING BATS; ECHOLOCATION CALLS; FRENCH-GUIANA; ARTIBEUS-JAMAICENSIS; INSECTIVOROUS BATS; TROPHIC STRUCTURE; SPECIES RICHNESS; FORAGING ECOLOGY; PHYLLOSTOMIDAE,"Tropical bat communities are characterized by high species diversity and relative abundance. Due to their diverse feeding ecologies, bats play indispensable roles in tropical forests as seed dispersers, pollinators, and predators of arthropods. However, despite of their importance, little is known about factors that promote diversity in this taxon as well as interactions between bats and their environment. First results suggest that Neotropical bat communities are highly structured. I explore factors that may contribute to the observed pattern. Partitioning of resources in space and time facilitates coexistence of species within local species assemblages. I discuss future perspectives for comprehensive studies of species assemblages that combine macroecological (top-down) and microecological (bottom-up) approaches. Foremost, I underline the need for comprehensive inventory techniques. In conclusion, comparative community studies of bats with standardized methodologies are crucial for a better understanding how environmental change may influence these species assemblages and in turn, plants and animals affected by them.",1998
Ecological knowledge of regeneration from seed in neotropical forest trees: Implications for natural forest management,seed dispersal; natural forest management; pollination; phenology; logging; hunting; neotropics; seed trees; tropical forest,TROPICAL RAIN-FOREST; MONKEYS ALOUATTA-SENICULUS; BARRO-COLORADO ISLAND; FRENCH-GUIANA; TREEFALL GAPS; COSTA-RICA; VOUACAPOUA-AMERICANA; VIROLA-SURINAMENSIS; DISPERSAL DISTANCE; UNDERSTORY BIRDS,"We discuss the main ecological factors that influence tree recruitment in neotropical moist- and wet forests within the context of timber management based on selective logging. We argue that setting aside protection areas in managed forests as a way to preserve ecological processes may not be sufficient to ensure sustainable levels of tree regeneration, and that a thorough understanding and application of tree seed ecology can help to refine management prescriptions. We review relevant aspects of tree reproductive biology seed production and dispersal, spatial and temporal constraints on seed availability, disperser behavior, and the potential consequences of hunting and forest fragmentation on tree regeneration, and discuss their implications for biological sustainability in managed forests. Tree seed production can be influenced by the selective removal of neighbors of the same species (due to insufficient pollen transfer), flowering asynchrony, and attributes of the species' sexual system. The extent to which an area is supplied by seed can be affected by dispersal mechanism, spatio-temporal limitations to seed dispersal, and tree size-dependent levels of seed production at the species level. Studies of vertebrate-disperser behavior and tree seed deposition in logged forests are scarce and warrant further attention in order to refine our understanding of the dependency of sustained timber production on vertebrate fauna. Although much remains to be learned about tree seed ecology in neotropical logged forests, the baseline information presented here may offer a starting point for developing ecological criteria for seed tree retention. Furthermore, it may contribute in improving ecologically-based management prescriptions in order to enhance or at least maintain sufficient levels of natural regeneration without the need to rely on artificial regeneration. ",1998
