associate,associated,association,associative,,,,,,,
assemble,assemblage,assembled,assembler,assembly,,,,,,
attraction,attract,attractant,attracted,attracting,attractive,attractiveness,attractor,,,
bee,apidae,apis,mellifera,hymenoptera,hymenopteran,bombus,bumblebee,bumble,terrestris,honeybee
change,changing,changed,changing,,,,,,,
correlate,correlated,correlating,correlation,correlative,,,,,,
decline,loss,declined,declining,,,,,,,
fragmentation,fragment,fragmented,,,,,,,,
function,functional,functionality,functionally,functioning,,,,,,
interaction,interact,interacted,interacting,interactive,interactively,interactor,,,,
network,networking,,,,,,,,,
pollinate,pollinated,,,,,,,,,
population,populate,populated,populational,,,,,,,
relation,relate,related,relatedness,relating,relationship,relative,,,,
richness,rich,richnesss,richer,,,,,,,
self,selfed,selfer,selfing,,,,,,,
visit,visitation,visited,visiting,visitor,,,,,,
