stopwords_as_is,stopwords_starting_with
advantage,america
advantages,analys
affect,approach
africa,assess
aim,average
among,base
amoung,basic
analyse,bicolor
analyses,brachy
analysis,chrysoph
analyzed,collect
andes,color
annual,common
anther,concentra
appears,conclu
apr,consequence
april,consid
aspects,data
atlantic,day
aug,decade
august,degree
average,determin
background,discount
basis,discuss
can,effect
ch,evaluate
chionochloa,evidence
dec,exam
december,exhibit
detla,expect
direct,feature
due,female
elsevier,final
feb,find
february,found
federal,great
field,implicat
fields,importance
five,include
form,indicat
found,investigate
founds,know
four ,like
framework,literature
frameworks,male
future,method
genus,model
hairs,number
hand,observ
height,occur
highlight,odor
highlights,paper
highly,pattern
however,percent
hypothesis,period
indirect,plot
information,predict
jan,previous
january,pronoun
journal,provide
jul,read
july,receive
jun,recent
june,record
key,regard
km,region
land,report
late,research
length,result
level,reveal
levels,review
life,role
light,sampl
link,sample
links,show
linnean,signifi
lived,site
local,source
mai,treat
main,understan
maintenance,use
mar,year
march,
mating,
max,
maximized,
may,
mean,
means,
mediate,
mediated,
mediating,
mediation,
mediator,
mg,
mrz,
mu,
nocturnal,
non,
north,
northern,
nov,
november,
number,
oct,
october,
one,
oo,
ooh,
output,
pelidnota,
per,
potential,
potentially,
potentials,
reserved,
right,
rights,
scent,
sep,
september,
several,
sex,
short,
shown,
society,
soula,
south,
southern,
sp,
spring,
ssp,
standing,
statistcal,
strongly,
studied,
studies,
study,
suggest,
suggests,
summer,
supporting,
surveys,
term,
terms,
tested,
theories,
theory,
three,
time,
times,
tissue,
tool,
tools,
total,
true,
two,
types,
understory,
usa,
using,
var,
variability,
variable,
variation,
variations,
vocs,
western,
whether,
white,
wide,
wind,
within,
wk,
yr,
